N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
8,Buero,0,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5"
8,Buero 013,#VALUE!,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5",Buero 013,#VALUE!,10AB ,"1,5"
8,Buero 014,#VALUE!,10AB ,"1,5",Buero 014,#VALUE!,10AB ,"1,5",Buero 014,#VALUE!,10AB ,"1,5"
8,Buero 014 Taster,#VALUE!,10AB ,"1,5",Buero 014 Taster,#VALUE!,10AB ,"1,5",Buero 014 Taster,#VALUE!,10AB ,"1,5"
8,Buero 004,#VALUE!,10AB ,"1,5",Treppenhaus 005 Taster,#VALUE!,10AB ,"1,5",EDV 012,#VALUE!,10AB ,"1,5"
8,"WV-H 011,008",#VALUE!,10AB ,"1,5","WC-D 007,009",#VALUE!,10AB ,"1,5","Notleuchten 014,013",#VALUE!,10AB ,"1,5"
8,Notöeuchten Flur005,#VALUE!,16AB,"2,5",AE EDV 012 Buero 013,#VALUE!,16AB,"2,5",Besprech. 1,0,16AB,"2,5"
8,"WC-Damen 007,009,015",#VALUE!,16AB,"2,5",Treppenhaus 006,#VALUE!,16AB,"2,5",Treppenhaus Verbindungsgang,0,16AB,"2,5"
8,Buero 013 AE,0,16AB,"2,5",Tel. Konter,#VALUE!,16AB,"2,5",Buero 014 AE,#VALUE!,16AB,"2,5"
8,Buero 003 AE,#VALUE!,16AB,"2,5",Buero 014 AE,-26023,16AB,"2,5",Buero 014 AE,#VALUE!,16AB,"2,5"
8,Buero 013 AE,#VALUE!,16AB,"2,5",Buero 013 AE,#VALUE!,16AB,"2,5",Buero 013 AE,#VALUE!,16AB,"2,5"
8,Buero 003 AE,#VALUE!,16AB,"2,5","Buro 013,013 AE",#VALUE!,16AB,"2,5",Buero 014 AE,#VALUE!,16AB,"2,5"
8,Besprechung 2,#VALUE!,16AB,"2,5",Buero 013 AE,-35,16AB,"2,5",Druckerraum 1,#VALUE!,16AB,"2,5"
8,EDV 012,#VALUE!,16AB,"2,5",EDV 012,0,16AB,"2,5",Datenschrank Kabel 7,0,16AB,"2,5"
8,Datenschrank Kabel 8,0,16AB,"2,5","Putzsteckdose 013,014",0,16AB,"2,5",Putsteckdose Flur 005,#VALUE!,16AB,"2,5"
8,Tel. Konter 1,#VALUE!,16AB,"2,5",Putzsteckdose 001,#VALUE!,16AB,"2,5",Putzsteckdose 004,#VALUE!,16AB,"2,5"
8,Moskaw,#VALUE!,16AB,"2,5",Putzsteckdose 012,#VALUE!,16AB,"2,5",Antrieb Tur mitte,#VALUE!,16AB,"2,5"
8,Res. Steckdose,#VALUE!,16AB,"2,5",Steigeschacht,#VALUE!,16AB,"2,5",Reserve,#VALUE!,16AB,"2,5"
8,Teekueche,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5",Teekueche,#VALUE!,16AB,"2,5"
8,WC-H WC-D Vor.. D Pumi 010 - Vorr-H,#VALUE!,16AB,"2,5",Urinale WC-H,#VALUE!,16AB,"2,5",Teekueche oben links,#VALUE!,16AB,"2,5"
8,Reserve,#VALUE!,16AB,"2,5",Teekueche oben rechts,#VALUE!,16AB,"2,5",Geschirspueller,#VALUE!,16AB,"2,5"
8,Reserve,#VALUE!,16AB,"2,5",Herdanschluss 014 Res,#VALUE!,16AB,"2,5",Herdanschluss 014 Res,#VALUE!,16AB,"2,5"
8,Herdanschluss 014 Res,#VALUE!,16AB,"2,5",Teekueche 014,#VALUE!,16AB,"2,5",Geschirspueller,#VALUE!,16AB,"2,5"
8,Drucker 2,#VALUE!,16AB,"2,5",CEE,-3,63A/16A,4,CEE,-3,63A/16A,4
8,CEE,-3,63A/16A,4,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
9,Büro 014,0,10 AB ,"1,5",Büro 014,#VALUE!,10 AB ,"1,5",Büro 014,#VALUE!,10 AB ,"1,5"
9,Taster ,0,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
9,"Büro 015, 016",#VALUE!,10 AB ,"1,5",Büro 017,#VALUE!,10 AB ,"1,5","Büro 001,002,003",#VALUE!,10 AB ,"1,5"
9,Büro 005,#VALUE!,10 AB ,"1,5",Büro 019 ,#VALUE!,10 AB ,"1,5",Flur 020 ,#VALUE!,10 AB ,"1,5"
9,Taster ,#VALUE!,10 AB ,"1,5",Flur 007 Treppe ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
9,Büro 005,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5",EDV-VT 012 ,#VALUE!,10 AB ,"1,5"
9,Taster ,#VALUE!,10 AB ,"1,5","WC-D 010, Vorr. WC-D 008",#VALUE!,10 AB ,"1,5",Abstellraum unter Treppe,#VALUE!,10 AB ,"1,5"
9,Flur 021,#VALUE!,10 AB ,"1,5",Notleuchten Flur 007,#VALUE!,10 AB ,"1,5",Abstellraum UV-Schacht ,#VALUE!,10 AB ,"1,5"
9,Taster ,#VALUE!,10 AB ,"1,5",AE EDV 012 ,#VALUE!,16 AB ,"2,5",Büro 014 AE ,0,16 AB ,"2,5"
9,"WC-H 011, Vorr. WC-H 009",#VALUE!,10 AB ,"1,5","Büro 014, 015 AE ",#VALUE!,16 AB ,"2,5","Büro 016, 017 AE",#VALUE!,16 AB ,"2,5"
9,"Notleuchten Flur 020, 021",#VALUE!,10 AB ,"1,5","Büro 002, 003 AE",-26023,16 AB ,"2,5",Büro 005 AE,#VALUE!,16 AB ,"2,5"
9,Tür ,#VALUE!,10 AB ,"1,5",Büro 005 AE Büro 013,#VALUE!,16 AB ,"2,5","Büro 005, 019 AE",#VALUE!,16 AB ,"2,5"
9,Büro 014 AE Büro 14.1 + Lichtband Fenster,0,16 AB ,"2,5",Büro 005 AE,#VALUE!,16 AB ,"2,5",AE Büro 016 MS,#VALUE!,16 AB ,"2,5"
9,"Büro 001, 002 AE",#VALUE!,16 AB ,"2,5",Putzsteckdose 014 ,#VALUE!,16 AB ,"2,5",5. OG Dach ,#VALUE!,16 AB ,"2,5"
9,Büro 005 AE Flur 005 ,#VALUE!,16 AB ,"2,5",Reserve ,0,16 AB ,"2,5",Putzsteckd. Treppe 4.OG,#VALUE!,16 AB ,"2,5"
9,Büro 005 AE,#VALUE!,16 AB ,"2,5",Res ,#VALUE!,16 AB ,"2,5","Putzsteckd. 001,002,003,005,019",#VALUE!,16 AB ,"2,5"
9,Büro 014 AE ,#VALUE!,16 AB ,"2,5",Putzsteckd. EDV VT1 Raum 012,#VALUE!,16 AB ,"2,5",EDV VT1 012,#VALUE!,16 AB ,"2,5"
9,"Flur 020, 021",0,16 AB ,"2,5",Res,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
9,Hupe BMA,#VALUE!,16 AB ,"2,5",Das Büro ,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
9,Zutritskontrolle 014 ,#VALUE!,16 AB ,"2,5",Reserve ,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
9,EDV VT2 012,#VALUE!,16 AB ,"2,5",Notlicht M.H. 5. OG ,0,10 AB ,"1,5",Reserve,0,16 AB ,"2,5"
9,Reserve,#VALUE!,16 AB ,"2,5",Herdanschluss 020,#VALUE!,16 AB ,"2,5",Herdanschluss 020,#VALUE!,16 AB ,"2,5"
9,Reserve,#VALUE!,16 AB ,"2,5",Urinale WC-H,#VALUE!,16 AB ,"2,5",Teeküche ,#VALUE!,16 AB ,"2,5"
9,5. OG,#VALUE!,10 AB ,"1,5",Teeküche 020 Kühlschrank ,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
9,Reserve,0,16 AB ,"2,5",Herdanschluss 021,#VALUE!,16 AB ,"2,5",Herdanschluss 021,#VALUE!,16 AB ,"2,5"
9,Herdanschluss 020,#VALUE!,16 AB ,"2,5",Teeküche 021 Kühlschrank ,#VALUE!,16 AB ,"2,5",Mikrowelle 021,#VALUE!,16 AB ,"2,5"
9,"Vorr. D 008 WC-D 010, Pumi Vorr H 009 ",#VALUE!,16 AB ,"2,5",Außenwerbung ,-74,16 AB ,"2,5",Außenwerbung ,-74,16 AB ,"2,5"
9,Teeküche 020 ,#VALUE!,16 AB ,"2,5",CEE Steckdose 21A Verteilungskabine ,-3,63A /35A,6,CEE Steckdose 21A Verteilungskabine ,-3,63A /35A,6
9,Mikrowelle 020 ,#VALUE!,16 AB ,"2,5",CEE 16 A Verteilungskabine,#VALUE!,63A /35A,6,CEE 16 A Verteilungskabine,#VALUE!,63A /35A,6
9,Herdanschluss 021,#VALUE!,16 AB ,"2,5",Aufzugsraum 5.OG CEE- Steckdose+ Schuko Steckdose,#VALUE!,63A /35A,6,Aufzugsraum 5.OG CEE- Steckdose+ Schuko Steckdose,#VALUE!,63A /35A,6
9,Teeküche 021 Vorr. H 009 ,#VALUE!,16 AB ,"2,5",CEE 16 A ,#VALUE!,63A /35A,6,CEE 16 A ,#VALUE!,63A /35A,6
9,Außenwerbung ,0,16 AB ,"2,5",,,,,,,,
9,CEE Steckdose 21A Verteilungskabine ,-3,63A /35A,6,,,,,,,,
9,CEE 16 A Verteilungskabine,#VALUE!,63A /35A,6,,,,,,,,
9,Aufzugsraum 5.OG CEE- Steckdose+ Schuko Steckdose,#VALUE!,63A /35A,6,,,,,,,,
9,CEE 16 A ,#VALUE!,63A /35A,6,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
10,AE 03 BR-Kanal,0,16AC,"2,5",AE 03 BR-Kanal,#VALUE!,16AC,"2,5",AE 04 BR-Kanal,#VALUE!,16AC,"2,5"
10,AE 04 BR-Kanal,#VALUE!,16AC,"2,5",Videoueberwachung serverraum,#VALUE!,16AC,"2,5",D04 302 OG,#VALUE!,16AC,"2,5"
10,Telefonzentrale unter fussboden serverschrank 2,#VALUE!,16AC,"2,5",Telefonzentrale unter fussboden serverschrank 3,#VALUE!,16AC,"2,5",Telefonzentrale unter fussboden serverschrank 4,#VALUE!,16AC,"2,5"
10,Telefonzentrale unter fussboden serverschrank 5,#VALUE!,16AC,"2,5",D04 302 OG,#VALUE!,16AC,"2,5",Reserve,#VALUE!,16AC,"2,5"
10,D99 Schrank 5,#VALUE!,16AC,"2,5",D99 Schrank 1,#VALUE!,16AC,"2,5",D99 Schrank 2,#VALUE!,16AC,"2,5"
10,D99 Scharank 3 ,#VALUE!,16AC,"2,5",D99 Schrank 4,#VALUE!,16AC,"2,5",D03 Hr 308 4.OG,#VALUE!,16AC,"2,5"
10,Schrank 3,#VALUE!,16AC,"2,5",Schrank 3,#VALUE!,16AC,"2,5",D02 Schrank 1 308 3.OG,0,16AC,"2,5"
10,D02 Schrank 2 308 3.OG,0,16AC,"2,5",D01 Schrank 2 308 EG,#VALUE!,16AC,"2,5",D01 Schrank 1 308 EG,#VALUE!,16AC,"2,5"
10,D99 11A,0,16A,6,Reserve ,0,63A/,6,Reserve 6,0,16A,6
10,Reserve,0,22AC,6,Reserve 5,0,16A,6,Reserve ,#VALUE!,16AC,"2,5"
10,Reserve 4,0,16A,"2,5",Server 6 ,#VALUE!,16AC,"2,5",Reserve ,#VALUE!,16AC,"2,5"
10,Dgg Schrank 2,#VALUE!,16AC,"2,5",Reserve ,#VALUE!,16AC,"2,5",,,,
10,Reserve ,#VALUE!,16AC,"2,5",Reserve ,0,16AC,"2,5",,,,
10,Reserve ,#VALUE!,16AC,"2,5",,,,,,,,
,,,,,,,,,,,,
11,Trafo 017 ,0,10 AB ,"1,5",MSHV 018,#VALUE!,10 AB ,"1,5",Heizung/Sani 016 ,#VALUE!,10 AB ,"1,5"
11,E-302-UG-01-04,#VALUE!,10 AB ,"1,5",NSHV,#VALUE!,10 AB ,"1,5",Aufenthalt 015,#VALUE!,10 AB ,"1,5"
11,Dusche Damen 014,#VALUE!,10 AB ,"1,5",WC-Damen 013,#VALUE!,10 AB ,"1,5",Umkleide Damen 011 Hagoraum neu ,#VALUE!,10 AB ,"1,5"
11,Umkleide Herren ,#VALUE!,10 AB ,"1,5","Flur 005,011",#VALUE!,10 AB ,"1,5",Flur 2 022 ,#VALUE!,10 AB ,"1,5"
11,Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5"
11,Umkleide Herren 009,#VALUE!,10 AB ,"1,5","Archiv 003,004",#VALUE!,10 AB ,"1,5",Flur 22+25,#VALUE!,10 AB ,"1,5"
11,Taster örtlich ,#VALUE!,10 AB ,"1,5","Notbeleuchtung Trago, MSHV 020 NSHV 016",#VALUE!,10 AB ,"1,5",Taster örtlich,#VALUE!,10 AB ,"1,5"
11,UV-Raum 023,#VALUE!,10 AB ,"1,5","Flur 010, Notstrom NSHV, Flur 005 MSHV FLur 022",#VALUE!,16 AB ,"2,5","Notbeleuchtung 010, 005",#VALUE!,10 AB ,"1,5"
11,Waschen Damen 012,#VALUE!,10 AB ,"1,5",Putzsteckdosen Flur 004 ,#VALUE!,16 AB ,"2,5","MSHV, NSHV",0,16 AB ,"2,5"
11,Taster örtlich ,#VALUE!,10 AB ,"1,5",Argonzentrale,#VALUE!,10 AB ,"1,5",Putzsteckdosen Umkleide Damen,#VALUE!,16 AB ,"2,5"
11,Argon Löschanlage ,#VALUE!,16 AB ,"2,5",Argonzentrale,#VALUE!,16 AB ,"2,5",Waschen Herren 006,#VALUE!,16 AB ,"2,5"
11,Putzsteckdose Aufenthaltsraum 015 Heizung/San.,0,16 AB ,"2,5",Reserve,0,16 AB ,"2,5",Taster örtlich ,#VALUE!,16 AB ,"2,5"
11,Putzsteckdose Umkleide Herren ,#VALUE!,16 AB ,"2,5",Waschen Damen ,#VALUE!,10 AB ,"1,5",Waschen Herren 006,#VALUE!,16 AB ,"2,5"
11,Dusche Herren 007 WC-Herren 008,#VALUE!,16 AB ,"2,5",Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,16 AB ,"2,5"
11,Reserve,0,16 AB ,"2,5",Tauchpumpe ,#VALUE!,16 AB ,"2,5",UV-Raum ,#VALUE!,16 AB ,"2,5"
11,Technikraum ,0,16 AB ,"2,5",Waschen Damen 012,#VALUE!,16 AB ,"2,5",Begleithzg Pumpenraum,0,16 AB ,"2,5"
11,Tauchpumpe ,#VALUE!,16 AB ,"2,5",WC Herren 008,#VALUE!,16 AB ,"2,5",Tauchpumpe ,#VALUE!,16 AB ,"2,5"
11,Waschen Damen 012 WC Damen 013,-26023,16 AB ,"2,5",Zutritskontrolle Serverraum ,#VALUE!,10 AB ,"1,5",Waschen Herren 006,#VALUE!,16 AB ,"2,5"
11,Putzsteckdose Waschen Herren ,#VALUE!,16 AB ,"2,5",Haartrockner ,#VALUE!,16 AB ,"2,5",R. 004,#VALUE!,16 AB ,"2,5"
11,Urinale WC Herren ,#VALUE!,16 AB ,"2,5",,,,,Reserve ,#VALUE!,10 AB ,"1,5"
11,Pausengang ,#VALUE!,10 AB ,"1,5",,,,,Reserve 6,#VALUE!,16 AB ,"2,5"
11,Notbel Flur ,#VALUE!,16 AB ,"2,5",,,,,,,,
,,,,,,,,,,,,
12,Telefonzentrale ,0,10 AB ,1.5,Putzsteckdose Telefonzentrale ,#VALUE!,16 AB ,"2,5",Br-Kanal Links,#VALUE!,16 AB ,"2,5"
12,Br - Kanal Rechts ,#VALUE!,16 AB ,"2,5",099 Schrank 1,#VALUE!,16 AB ,"2,5",099 Schrank 2,#VALUE!,16 AB ,"2,5"
12,099 Schrank ,#VALUE!,16 AB ,"2,5",099 Schrank 3 ,#VALUE!,16 AB ,"2,5",099 SChrank 5 ,#VALUE!,10 AB ,"1,5"
12,unter Fußboden Serverschrank ,#VALUE!,10 AB ,"1,5",unter Fußboden Serverschrank 3,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
12,Siemens,#VALUE!,16 AB ,"2,5",unter Fußboden Serverschrank 4,#VALUE!,16 AB ,"2,5",unter Fußboden Serverschrank 5,#VALUE!,16 AB ,"2,5"
12,Reserve Umluftgerät,-Q16 / 63 A,35 A,6,Reserve Umluftgerät,-Q16 / 63 A,35 A,6,Reserve Umluftgerät,-Q16 / 63 A,35 A,6
12,Schrank 1 ,0,63A / 16 A,6,Reserve ,0,63 A / 35 A,6,,,,
,,,,,,,,,,,,
13,IC-FND3-003,0,10 AB ,"1,5",IC-IN03-003,#VALUE!,10 AB ,"1,5",IC-IND3-003,#VALUE!,10 AB ,"1,5"
13,Taster örtlich ,0,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5"
13,IC-IND-003,#VALUE!,10 AB ,"1,5",3,#VALUE!,10 AB ,"1,5",3,#VALUE!,10 AB ,"1,5"
13,Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5"
13,IC-IND-003,#VALUE!,10 AB ,"1,5",Reserve ,#VALUE!,10 AB ,"1,5",Reserve,#VALUE!,10 AB ,"1,5"
13,Taster örtlich ,#VALUE!,10 AB ,"1,5","Flur 4, Flurachse 14",#VALUE!,10 AB ,"1,5",WC Damen 008,#VALUE!,10 AB ,"1,5"
13,Reserver,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster ,#VALUE!,10 AB ,"1,5"
13,Reserve,#VALUE!,10 AB ,"1,5",Teeküche ,#VALUE!,10 AB ,"1,5",Flur 1 015 ,#VALUE!,10 AB ,"1,5"
13,WC Herren 009,#VALUE!,10 AB ,"1,5",14,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5"
13,RES,#VALUE!,10 AB ,"1,5",Treppenhaus 006,#VALUE!,10 AB ,"1,5",Flur 1 006 ,0,10 AB ,"1,5"
13,Treppenhaus 002,#VALUE!,10 AB ,"1,5",Taster örtlich ,#VALUE!,10 AB ,"1,5",Taster örtlich,0,10 AB ,"1,5"
13,Taster örtlich ,#VALUE!,10 AB ,"1,5","Notbeleuchtung Flur 012,017,014",#VALUE!,10 AB ,"1,5",Notbeleuchtung 003,#VALUE!,10 AB ,"1,5"
13,Notbeleuchtung Trepph. 006,0,10 AB ,"1,5",Res ,-26023,10 AB ,"1,5",Zeiterfassung Labor 01-27,#VALUE!,10 AB ,"1,5"
13,RES,#VALUE!,10 AB ,"1,5",Res ,#VALUE!,16 AB ,"2,5",AE-003,#VALUE!,16 AB ,"2,5"
13,Reserve,#VALUE!,10 AB ,"1,5",AE-003,#VALUE!,16 AB ,"2,5",AE-003 beschriftet mit 37,#VALUE!,16 AB ,"2,5"
13,AE-003,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
13,AE-003,#VALUE!,16 AB ,"2,5",Reserve,0,16 AB ,"2,5",Reserve,0,16 AB ,"2,5"
13,Reserve,#VALUE!,16 AB ,"2,5",Reserve,0,16 AB ,"2,5",AE-003,#VALUE!,16 AB ,"2,5"
13,Reserver,0,16 AB ,"2,5",AE-003,#VALUE!,16 AB ,"2,5",AE-003,#VALUE!,16 AB ,"2,5"
13,AE-003,#VALUE!,16 AB ,"2,5",Budapest,#VALUE!,16 AB ,"2,5",AE-003,#VALUE!,16 AB ,"2,5"
13,AE-003,#VALUE!,16 AB ,"2,5","Putzsteckd. 013,015",#VALUE!,16 AB ,"2,5",Putzsteckd. 003,#VALUE!,16 AB ,"2,5"
13,Büro,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5",Putzsteckd. Flur 4,#VALUE!,16 AB ,"2,5"
13,Reserve,#VALUE!,16 AB ,"2,5",Büro,#VALUE!,16 AB ,"2,5",UV Raum,#VALUE!,16 AB ,"2,5"
13,Zeiterfassung,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5",Herd teekuche 007,#VALUE!,16 AB ,"2,5"
13,Büro ,#VALUE!,16 AB ,"2,5",Herd teekuche 007,#VALUE!,16 AB ,"2,5",Teeküche,#VALUE!,16 AB ,"2,5"
13,Herd teekuche 007,#VALUE!,16 AB ,"2,5",Teeküche ,#VALUE!,16 AB ,"2,5",Urinale WC-H,#VALUE!,16 AB ,"2,5"
13,Teekuche 007,#VALUE!,16 AB ,"2,5","Putzsteckd WC-D 008, WC-H 009 ",#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5"
13,Teeküche 007,#VALUE!,16 AB ,"2,5",Reserve,#VALUE!,16 AB ,"2,5",AE2,#VALUE!,16 AB ,"2,5"
13,Not Aus Labor | Raum 018 ,-2F01,6 AB ,"1,5",AE1 18/1 ,#VALUE!,16 AB ,"2,5",Reserve ,0,16 AB ,"2,5"
13,Reserve,#VALUE!,16 AB ,"2,5",AE 4 18 / 4 ,0,16 AB ,"2,5",Reserve,0,16 AB ,"2,5"
13,Reserve,#VALUE!,16 AB ,"2,5",Reserve,0,16 AB ,"2,5",AE2 19/2 ,#VALUE!,16 AB ,"2,5"
13,AE 3  18/3 ,0,16 AB ,"2,5",AE1 19/1,#VALUE!,16 AB ,"2,5",AE 5 19/5,#VALUE!,16 AB ,"2,5"
13,Reserve,0,16 AB ,"2,5",AE 4 19/4,#VALUE!,16 AB ,"2,5",AE2 20/2,#VALUE!,16 AB ,"2,5"
13,Reserve,0,16 AB ,"2,5",AE ,#VALUE!,16 AB ,"2,5",Reserve ,#VALUE!,16 AB ,"2,5"
13,AE 3 ,#VALUE!,16 AB ,"2,5",AE4 20/4,#VALUE!,16 AB ,"2,5",AE2,#VALUE!,16 AB ,"2,5"
13,AE6 19/6 ,#VALUE!,16 AB ,"2,5",AE1 ,#VALUE!,16 AB ,"2,5",AE5 21/5,#VALUE!,16 AB ,"2,5"
13,Res,#VALUE!,16 AB ,"2,5",AE4 21/4 ,#VALUE!,16 AB ,"2,5",Bel. Video Räume,0,16 AB ,"2,5"
13,Reserve ,#VALUE!,16 AB ,"2,5",Res,#VALUE!,16 AB ,"2,5",Br Kanal Video Raum 2 ,0,16 AB ,"2,5"
